RMSE_raw,RMSE_bc,MAE_raw,MAE_bc,Bias_raw,Bias_bc,rBias_raw,rBias_bc,KS_raw,KS_raw_p,KS_bc,KS_bc_p,Pwet_obs,Pwet_raw,Pwet_bc,Q95_obs,Q95_raw,Q95_bc,Q99_obs,Q99_raw,Q99_bc,station,model
7.2475,6.7291,3.9428,3.8249,0.3964,0.3136,16.1883,12.8065,0.0460,0.0000,0.0002,1.0000,0.5250,0.5926,0.5926,16.4482,17.8768,16.4482,27.3300,33.7051,27.3214,STN_PKK,CMIP6_M01
8.4060,6.8679,4.5993,3.9167,1.2837,0.4757,52.4214,19.4256,0.0663,0.0000,0.0002,1.0000,0.5250,0.6274,0.6274,16.4482,21.7433,16.4482,27.3300,38.5598,27.3228,STN_PKK,CMIP6_M02
7.3137,6.9102,4.1915,4.0305,0.9788,0.7989,39.9720,32.6249,0.0202,0.1343,0.0002,1.0000,0.5250,0.6968,0.6968,16.4482,17.1154,16.4482,27.3300,29.8522,27.3310,STN_PKK,CMIP6_M03
9.0543,6.9605,5.3508,4.0986,2.4836,0.8802,101.4232,35.9445,0.1418,0.0000,0.0002,1.0000,0.5250,0.7142,0.7142,16.4482,23.8004,16.4482,27.3300,39.7918,27.3332,STN_PKK,CMIP6_M04
8.4184,6.7936,4.5815,3.8955,1.2680,0.4604,51.7834,18.7998,0.0663,0.0000,0.0002,1.0000,0.5250,0.6241,0.6241,16.4482,21.4931,16.4492,27.3300,39.8882,27.3334,STN_PKK,CMIP6_M05
9.0712,6.9702,5.1511,4.0750,2.1253,0.7840,86.7909,32.0177,0.1063,0.0000,0.0002,1.0000,0.5250,0.6936,0.6936,16.4482,23.5939,16.4490,27.3300,41.2126,27.3267,STN_PKK,CMIP6_M06
9.2385,6.9224,5.1223,4.0081,2.0163,0.6692,82.3396,27.3289,0.0991,0.0000,0.0002,1.0000,0.5250,0.6689,0.6689,16.4482,23.8768,16.4482,27.3300,42.8034,27.3343,STN_PKK,CMIP6_M07
8.4767,7.0292,4.8408,4.0856,1.6944,0.7347,69.1975,30.0026,0.0895,0.0000,0.0002,1.0000,0.5250,0.6830,0.6830,16.4482,21.1274,16.4488,27.3300,36.8676,27.3237,STN_PKK,CMIP6_M08
7.5732,6.8043,4.2741,3.8911,0.9625,0.4833,39.3083,19.7382,0.0460,0.0000,0.0002,1.0000,0.5250,0.6290,0.6290,16.4482,19.7810,16.4482,27.3300,33.1908,27.3223,STN_PKK,CMIP6_M09
8.3792,7.0252,4.8306,4.1246,1.7659,0.8636,72.1161,35.2665,0.0837,0.0000,0.0002,1.0000,0.5250,0.7107,0.7107,16.4482,20.6464,16.4482,27.3300,37.1622,27.3246,STN_PKK,CMIP6_M10
