Station_ID,Season,N_Obs,Freq_D,Freq_W,Freq_R
353201,Dry_Season,7092,0.9678510998307953,0.011139311900733221,0.02100958826847152
353201,Pre_Monsoon,3599,0.8588496804667963,0.03806612948041123,0.10308419005279244
353201,SW_Monsoon_Wet,10856,0.6672807663964628,0.07470523212969786,0.25801400147383935
354201,Dry_Season,7092,0.9736322617033277,0.008178228990411731,0.018189509306260575
354201,Pre_Monsoon,3599,0.8883023061961656,0.02639622117254793,0.08530147263128647
354201,SW_Monsoon_Wet,10856,0.6390935887988209,0.07627118644067797,0.2846352247605011
356201,Dry_Season,7092,0.9727862380146645,0.00972927241962775,0.01748448956570784
356201,Pre_Monsoon,3599,0.855793275909975,0.037788274520700195,0.10641844956932481
356201,SW_Monsoon_Wet,10855,0.6079226163058499,0.0787655458314141,0.3133118378627361
357201,Dry_Season,6948,0.9748128957973518,0.009499136442141624,0.01568796776050662
357201,Pre_Monsoon,3570,0.853501400560224,0.03333333333333333,0.11316526610644258
357201,SW_Monsoon_Wet,10714,0.5311741646443905,0.07504200112002987,0.3937838342355796
381201,Dry_Season,7083,0.975998870535084,0.006635606381476775,0.01736552308343922
381201,Pre_Monsoon,3566,0.8895120583286595,0.024397083567021874,0.08609085810431856
381201,SW_Monsoon_Wet,10852,0.6936048654625876,0.06422779211205308,0.2421673424253594
403201,Dry_Season,7092,0.9750423011844331,0.008178228990411731,0.016779469825155106
403201,Pre_Monsoon,3599,0.8813559322033898,0.024729091414281746,0.09391497638232843
403201,SW_Monsoon_Wet,10856,0.7136145910095799,0.06125644804716286,0.22512896094325718
405201,Dry_Season,6874,0.9751236543497236,0.00669188245562991,0.018184463194646495
405201,Pre_Monsoon,3525,0.8831205673758865,0.0275177304964539,0.08936170212765958
405201,SW_Monsoon_Wet,10709,0.6665421607993277,0.06331123354188066,0.27014660565879167
407501,Dry_Season,7092,0.9794134235758601,0.0060631697687535254,0.01452340665538635
407501,Pre_Monsoon,3599,0.900805779383162,0.018616282300639067,0.08057793831619894
407501,SW_Monsoon_Wet,10856,0.614406779661017,0.07359985261606485,0.3119933677229182
431201,Dry_Season,7079,0.9693459528181947,0.009323350755756462,0.021330696426048876
431201,Pre_Monsoon,3599,0.8883023061961656,0.028341205890525144,0.08335648791330925
431201,SW_Monsoon_Wet,10856,0.7166543846720708,0.06494104642593958,0.21840456890198967
432201,Dry_Season,7092,0.9719402143260011,0.00874224478285392,0.01931754089114495
432201,Pre_Monsoon,3599,0.8841344818005001,0.026951931091969993,0.08891358710752988
432201,SW_Monsoon_Wet,10856,0.6507000736919676,0.07221812822402358,0.27708179808400885
