file,sha256
Figure_P3_01_ENSO_observed.pdf,dfc89308c6f6241d35eb0a0c2af6b6c9d72476b3493fcc721157fbde15919cab
Figure_P3_01_ENSO_observed.png,46bb9fb28fde64bc18dfe053ca803f3e7e37facab002dbc51843e637a4a1d6ee
Figure_P3_02_ENSO_raw_vs_QDM.pdf,018782347572c804b45c25fbbbfb7b2d57288330666da849a427e22454039663
Figure_P3_02_ENSO_raw_vs_QDM.png,c4e3c6aa9a0bb661be2c390b70b6c99b253db8d553d8715dff3b4540bbef3466
Figure_P3_03_ENSO_asymmetry.pdf,9b63786a689e837eac6dbcc30092e90e36b3f22e02b6d66b9a91a81d8d942c5d
Figure_P3_03_ENSO_asymmetry.png,e954a04c56bbeac65a74a30f2b152580c2e5d24068a5688de3d674be3a9d4c8f
Figure_P3_04_ENSO_extremes.pdf,760c9419f206d1e1d07601d39aa4dbfb08524621a2076133c3da931285cd9078
Figure_P3_04_ENSO_extremes.png,188bec1deda1ca0366420a3459a6e063833e76460f597c47e645c879135cd033
Figure_P3_05_ENSO_temporal.pdf,278418f036b625acab6b12e4550b29bd8c3e9d5164938dff4d8983d0ae14ed20
Figure_P3_05_ENSO_temporal.png,35be88443978310d66b2753bacf79078ac34f19f72679e841995d97d5be4edaa
Figure_P3_06_ENSO_synthesis.pdf,4efd5172eb6b4a82c1bbfb4a2665935f4ab1b188822cd9b2467ab29d09dac3ba
Figure_P3_06_ENSO_synthesis.png,9fef8d028d2113727261993831a981c52f3bef04bb0fc63dc33cc1902f0274d7
PAPER3_ACCEPTANCE_GATES.csv,a24ff01e7468998199651a3a0929c1169299e319436e3878ffe201dd925175fe
PAPER3_BLOCKER_RESOLUTION_REPORT.md,8e134b148a342e875fa5d5fc79203635b748e90c6d50209f661f73c761a28943
PAPER3_DATA_AUDIT.csv,ff8f291608eda0791d8262779c12652d831a4df8a1e2b36dfa6c5d06e2c95342
PAPER3_FINAL_ANALYSIS_REPORT.md,19c8e16d39f430e561032aee5713c2722b7a8b5cb2401501b703f415e256b368
PAPER3_FINAL_INDEPENDENT_REVIEW.md,5816f5f6d94fb45a8fdad0edceae1489a5527cecf4c4cc5fe0476fb424343d4b
PAPER3_INTERPRETATION_SCOPE.csv,29a6d7adb9cd1d9d0d52a27614ed6579594bf96264a2e366a0ff48192806ff1d
PAPER3_PREANALYSIS_GATE.csv,c6719b83206cec2d67e6c0a8e0f8377e89f40f549fa24951dcf2d0f402b8bdf0
PAPER3_PR_PREMERGE_AUDIT.md,d7db1e4c2626132e35c608c400799233994dd6a089bae4129c88f81404ff25cf
Paper3_APST_manuscript_FINAL.md,6d869ccba627b1824b0794e8c74a0bba1abb8832aad4623217755e7a3ebeabbe
Paper3_ENSO_Master_Code_and_Manuscript_Execution_Specification.md,ba97c6219dbd423f34fbf33be91234eb7904698a1fbb5f737576e88f42f3e693
Paper3_MAIN_Tables.xlsx,c582c46b125ef1b1b12db7a43fbfdc142fe7b48cb292a76645d968384624fa0e
Paper3_SUPPLEMENTARY_Tables.xlsx,5871553218d13af82ea4956772a7971382a0962f5a8d471abdacb53487f0f38a
build_enso_classification.py,c676eee24ecc1bca43b15a31a436aeb3ba8b80f6c14381077de4f1368603e310
build_manuscript_and_report.py,02451d2d3c23e2b16a6f185d23578e2fb3d33850c9980f6b4f58d86b16be1e7e
data_audit_results.json,0bf6956e0834008b91571875035a3108bed90576b038817844a4a770b16d77f3
engine_enso_analysis.py,4e06371fa8d0dea2287b85ebf648121dbe1e8bcec0941a68845c1231acd96fe5
enso_asymmetry.csv,dfca038d73cc812cb43497209af1397b9c243ba814d58a5f3f4cfb1aa38c7f7f
enso_classification_sensitivity.csv,47afb630419e0de1a5c3bf280d307831cf2f5b5a38b73fa1ea64f510c26b9e3a
enso_direction_agreement.csv,f9c8bd56768d391b469ee3112601cc5d33c6933ff4fd20df2043e34588781357
enso_episode_catalog.csv,9d18984749ddc3991bcaee42c01f71ab21062be8c9128f30c4c2774b16d5ac0b
enso_magnitude_error.csv,d388a621652df159cc894bb848b27f6db1e1bde66a2facfa2ea91456eb0181a8
enso_raw_source.csv,24ad4515a6762d6cbe89dda7f607d25ae326d1fef1d29f21f49cdcf211ba174c
enso_response_observed.csv,82a5801a3a7b5106ff2cf8cc59115d8ae7a7881d1e68a00192208ddf0cb28e1c
enso_response_qdm.csv,d26064a3615259924c17a5ae295c2e367dbd3b7ddffb49cfd2c17ac7929838ec
enso_response_raw.csv,a42dac8df91ed5f78d84aa1a491f686222341ece5d6487b6f2c68f63a91779aa
enso_sample_sizes.csv,fe0d153f41f24516c62ddff8c642f097431135974dc40421334f40fb98276573
enso_season_classification.csv,5e56e54e0cdeaf82f35dba87ade2dd6de56f73580505b0847b5a2beb0aa29d5a
enso_signal_preservation.csv,4f40a90879f1e98ccd9b3e6d9187a31b07960c1972ec6e94731cc2c3889f609c
enso_statistics.csv,100547431cc270b4bb3eeb2aece47ec6fed6db59c08af0ca08be909d593cbde1
generate_tables_and_figures.py,3715b175546b1415734e7e379c63a771579aa0ce299cb658de56eafcd3fdd55e
manuscript_EnNRJ.md,6d869ccba627b1824b0794e8c74a0bba1abb8832aad4623217755e7a3ebeabbe
oni.data,7a1893f0d92f96090940ccb5352d7a3413ff217af4e4278af76fd05515a34753
oni_provenance.json,bbe6667443bc36a3590092ae2e02b82683eabc989fd2f26f921e379427d8edaf
paper3_claim_audit.csv,f0d721231707891f14c6a48c1bf6de2050f6f712d19af2d90a85837a88f7e9f2
paper3_file_hashes.csv,6b4224aee009d3df4ce7f41f088cbbf35a7036b2fc9c43b3f4ab8956bae83487
paper3_manifest.json,a59c180e5d7de82803a581641c40a71ea1ee6ee8b66923f85d206b3a9047241d
run_data_audit.py,d12c14f8d6b85ecdfe2692f6cef1c074bd02b0aa1a9ec57e3921152f55921046
seasonal_observed.csv,f1540cfdfa39534f62061c88b09d00a91497c3b5f0c47f02c02fbcd93f19c683
seasonal_qdm.csv,82366f3a276c26a7c33b9770f7a9475d7317b743ea4149ad47839ab8cc1da4a0
seasonal_raw_cmip6.csv,8dec660b60a0a19a37c477ebf1c90934134a1af00ea1826cba2fb6efd9535618
