scenario,window,index,n,grand_mean,SS_total,SS_model,SS_method,SS_residual,model_share_pct,method_share_pct,residual_share_pct,n_models,n_methods,model_form,definition,interpretation
ssp245,Near,CDD,273,1.292,23370.34290219559,11660.412222343926,18.031863751563797,11691.8988161001,49.89405705830896,0.0771570354231719,50.02878590626787,7,3,"GCM main effect + BC-method main effect + residual (INCLUDING the GCM x method interaction). This is a main-effect sum-of-squares partition, NOT a full variance-component analysis.",two-way SS decomposition; shares sum to 100,"method_share_pct is the ADDITIVE MAIN EFFECT of the bias-correction method. The residual term contains the model x method interaction, so a small main effect does not mean the method choice is unimportant for individual models, stations or quantiles."
ssp245,Near,CWD,273,6.339,24301.418234902278,12864.63075720841,3.505874014127243,11433.281603679738,52.93777767559229,0.0144266230893965,47.04779570131832,7,3,"GCM main effect + BC-method main effect + residual (INCLUDING the GCM x method interaction). This is a main-effect sum-of-squares partition, NOT a full variance-component analysis.",two-way SS decomposition; shares sum to 100,"method_share_pct is the ADDITIVE MAIN EFFECT of the bias-correction method. The residual term contains the model x method interaction, so a small main effect does not mean the method choice is unimportant for individual models, stations or quantiles."
ssp245,Near,PRCPTOT,273,3.02,8942.080550110917,7005.139435865036,51.91122469876864,1885.0298895471128,78.33903303161527,0.5805273661745838,21.080439602210145,7,3,"GCM main effect + BC-method main effect + residual (INCLUDING the GCM x method interaction). This is a main-effect sum-of-squares partition, NOT a full variance-component analysis.",two-way SS decomposition; shares sum to 100,"method_share_pct is the ADDITIVE MAIN EFFECT of the bias-correction method. The residual term contains the model x method interaction, so a small main effect does not mean the method choice is unimportant for individual models, stations or quantiles."
ssp245,Near,PRCPTOT_dry,273,18.165,291394.27717598743,225460.8697738521,195.61928237359055,65737.78811976172,77.37312892994296,0.0671321634279888,22.559738906629047,7,3,"GCM main effect + BC-method main effect + residual (INCLUDING the GCM x method interaction). This is a main-effect sum-of-squares partition, NOT a full variance-component analysis.",two-way SS decomposition; shares sum to 100,"method_share_pct is the ADDITIVE MAIN EFFECT of the bias-correction method. The residual term contains the model x method interaction, so a small main effect does not mean the method choice is unimportant for individual models, stations or quantiles."
ssp245,Near,PRCPTOT_wet,273,-0.284,5865.675575513771,3977.416317230117,36.4453591956128,1851.8138990880416,67.8083243102264,0.6213326790140549,31.57034301075955,7,3,"GCM main effect + BC-method main effect + residual (INCLUDING the GCM x method interaction). This is a main-effect sum-of-squares partition, NOT a full variance-component analysis.",two-way SS decomposition; shares sum to 100,"method_share_pct is the ADDITIVE MAIN EFFECT of the bias-correction method. The residual term contains the model x method interaction, so a small main effect does not mean the method choice is unimportant for individual models, stations or quantiles."
ssp245,Near,R10mm,273,2.902,17772.487021078065,13058.576812079378,160.38311211227457,4553.527096886412,73.47636150524113,0.9024235714566066,25.621214923302265,7,3,"GCM main effect + BC-method main effect + residual (INCLUDING the GCM x method interaction). This is a main-effect sum-of-squares partition, NOT a full variance-component analysis.",two-way SS decomposition; shares sum to 100,"method_share_pct is the ADDITIVE MAIN EFFECT of the bias-correction method. The residual term contains the model x method interaction, so a small main effect does not mean the method choice is unimportant for individual models, stations or quantiles."
ssp245,Near,R20mm,273,7.684,383284.6158840713,36516.89924550232,1063.1877608414875,345704.5288777275,9.5273584517014,0.2773885819521284,90.19525296634647,7,3,"GCM main effect + BC-method main effect + residual (INCLUDING the GCM x method interaction). This is a main-effect sum-of-squares partition, NOT a full variance-component analysis.",two-way SS decomposition; shares sum to 100,"method_share_pct is the ADDITIVE MAIN EFFECT of the bias-correction method. The residual term contains the model x method interaction, so a small main effect does not mean the method choice is unimportant for individual models, stations or quantiles."
ssp245,Near,R50mm,214,19.245,466637.4345362664,86448.88232918772,751.3270063787569,379437.2252007,18.52592096797777,0.161008729855848,81.3130703021664,7,3,"GCM main effect + BC-method main effect + residual (INCLUDING the GCM x method interaction). This is a main-effect sum-of-squares partition, NOT a full variance-component analysis.",two-way SS decomposition; shares sum to 100,"method_share_pct is the ADDITIVE MAIN EFFECT of the bias-correction method. The residual term contains the model x method interaction, so a small main effect does not mean the method choice is unimportant for individual models, stations or quantiles."
ssp245,Near,R95p,273,10.661,95942.57615945922,64188.84014416536,83.05596429723023,31670.680050996634,66.90339441947204,0.0865684116707361,33.010037168857224,7,3,"GCM main effect + BC-method main effect + residual (INCLUDING the GCM x method interaction). This is a main-effect sum-of-squares partition, NOT a full variance-component analysis.",two-way SS decomposition; shares sum to 100,"method_share_pct is the ADDITIVE MAIN EFFECT of the bias-correction method. The residual term contains the model x method interaction, so a small main effect does not mean the method choice is unimportant for individual models, stations or quantiles."
ssp245,Near,R99p,272,32.749,3262556.526885176,993841.1596419103,35665.456087646504,2233049.9111556187,30.462036487403008,1.0931751157028071,68.44478839689418,7,3,"GCM main effect + BC-method main effect + residual (INCLUDING the GCM x method interaction). This is a main-effect sum-of-squares partition, NOT a full variance-component analysis.",two-way SS decomposition; shares sum to 100,"method_share_pct is the ADDITIVE MAIN EFFECT of the bias-correction method. The residual term contains the model x method interaction, so a small main effect does not mean the method choice is unimportant for individual models, stations or quantiles."
